db,variant,instructions_M,cycles_M,ipc,unique_cache_lines
50mb,S0,35.8,24.4,1.47,76605
50mb,1way,38.2,27.0,1.41,67749
50mb,4way,39.7,26.7,1.48,76963
50mb,8way,41.3,27.8,1.48,89254
50mb,16way,44.0,28.7,1.53,113831
8gb,S0,68.1,51.7,1.32,186523
8gb,1way,51.7,28.6,1.81,54874
8gb,4way,52.0,28.3,1.84,64091
8gb,8way,52.2,28.7,1.82,76380
8gb,16way,52.6,28.9,1.82,100952
16gb,S0,77.3,60.7,1.27,200423
16gb,1way,51.6,30.1,1.71,47680
16gb,4way,51.9,29.6,1.75,56897
16gb,8way,52.3,30.1,1.74,69187
16gb,16way,53.0,30.3,1.75,93761
103gb,S0,102.9,94.3,1.09,306921
103gb,1way,68.8,48.8,1.41,79560
103gb,4way,70.3,47.7,1.47,88782
103gb,8way,71.9,49.0,1.47,101066
103gb,16way,74.6,49.6,1.50,125646
