db,size,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
8gb,2048,52.1,27.9,1.87,53769,14746198,98.81,.90,.0042,532.55,534
8gb,4096,52.1,27.9,1.87,54949,14746076,98.81,.90,.0043,598.90,599
8gb,16384,52.1,27.9,1.87,56942,14745914,98.80,.89,.0100,745.69,746
8gb,65536,54.4,28.6,1.90,58254,15318438,98.69,1.00,.0052,803.96,805
8gb,262144,52.1,27.9,1.87,59514,14746856,98.80,.87,.0074,749.72,750
8gb,1048576,52.1,27.9,1.87,60080,14746915,98.80,.87,.0093,735.23,736
16gb,2048,52.1,29.2,1.78,46699,14962649,98.97,.78,.0122,605.10,606
16gb,4096,52.1,29.3,1.78,48543,14962651,98.96,.77,.0161,610.88,611
16gb,16384,52.1,29.3,1.78,53175,14962579,98.94,.75,.0176,773.58,775
16gb,65536,53.1,29.6,1.79,56185,15217145,98.88,.80,.0175,810.36,811
16gb,262144,52.1,29.3,1.77,58978,14961909,98.93,.72,.0212,792.63,794
16gb,1048576,52.1,29.3,1.78,60900,14961902,98.93,.70,.0177,797.38,798
