db,variant,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,sim_elapsed_s,sim_wallclock_s
50mb,S0,35.8,24.4,1.47,76606,11052946,98.97,.40,.0186,187.16,188
50mb,1way,38.2,27.0,1.41,67751,11132500,99.07,.41,.0141,173.97,174
50mb,4way,39.7,26.8,1.48,76966,11438683,98.45,.96,.0374,180.87,182
50mb,8way,41.3,27.8,1.49,89255,12021875,98.10,1.12,.1548,192.84,194
50mb,16way,44.0,28.7,1.53,113831,12992365,97.48,1.15,.2034,208.44,209
8gb,S0,68.1,51.8,1.32,186526,13971371,98.86,.66,.0086,408.42,409
8gb,1way,51.7,28.6,1.81,54874,14455233,98.83,.89,.0037,219.69,220
8gb,4way,51.9,28.3,1.84,64091,14508400,98.75,.92,.0117,222.17,223
8gb,8way,52.2,28.7,1.82,76379,14595899,98.68,.92,.0339,229.30,230
8gb,16way,52.6,28.9,1.82,100954,14807557,98.55,.91,.0403,235.32,236
16gb,S0,77.3,60.7,1.27,200423,15591214,98.71,.83,.0164,463.08,464
16gb,1way,51.6,30.1,1.71,47681,14613269,99.03,.72,.0081,225.83,226
16gb,4way,51.9,29.6,1.76,56898,14696932,98.90,.80,.0268,231.27,232
16gb,8way,52.3,30.1,1.74,69185,14842511,98.80,.81,.0528,236.32,237
16gb,16way,53.0,30.4,1.75,93761,15145608,98.62,.80,.0609,246.41,248
103gb,S0,102.9,94.3,1.09,306921,18687186,98.69,.67,.0365,699.79,700
103gb,1way,68.8,48.8,1.41,79566,19341407,98.67,.94,.0329,345.41,346
103gb,4way,70.3,47.8,1.47,88782,19651122,98.29,1.24,.0668,360.32,360
103gb,8way,71.9,49.1,1.46,101070,20234291,98.07,1.30,.1116,374.10,375
103gb,16way,74.6,50.0,1.49,125646,21223106,97.68,1.33,.1135,394.56,395
