reads,associativity,sets,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
10,1,18000,22.4,13.6,1.64,35802,5085989,98.33,1.18,.0003,114.84,115
10,4,4500,22.4,13.7,1.64,35802,5086068,98.32,1.18,.0005,116.14,117
10,8,2250,22.4,13.6,1.64,35801,5085943,98.32,1.18,.0004,115.08,117
10,15,1200,22.4,13.7,1.64,35801,5085923,98.32,1.18,.0004,115.53,116
10,16,1125,22.4,13.7,1.64,35802,5086029,98.33,1.18,.0003,113.55,114
10,30,600,22.4,13.7,1.64,35801,5085822,98.32,1.18,.0004,115.64,116
50,1,18000,35.8,24.4,1.47,76608,11048748,98.97,.41,.0147,192.28,193
50,4,4500,35.8,24.4,1.47,76608,11048903,98.97,.40,.0179,193.95,194
50,8,2250,35.8,24.4,1.47,76609,11048905,98.97,.40,.0180,192.46,193
50,15,1200,35.8,24.4,1.47,76608,11048796,98.97,.41,.0180,191.76,193
50,16,1125,35.8,24.4,1.47,76607,11048746,98.97,.41,.0189,192.04,193
50,30,600,35.8,24.4,1.47,76607,11048796,98.97,.41,.0179,193.85,194
100,1,18000,1377.5,870.0,1.58,1379987,439797000,99.04,.21,.0332,6491.03,6492
100,4,4500,1377.5,877.2,1.57,1379986,439797004,99.04,.21,.0356,6472.26,6473
100,8,2250,1377.5,869.9,1.58,1379986,439797004,99.04,.21,.0361,6490.85,6491
100,15,1200,1377.5,870.4,1.58,1379985,439796997,99.04,.21,.0363,6477.49,6477
100,16,1125,1377.5,869.8,1.58,1379985,439797078,99.04,.21,.0364,6482.87,6484
100,30,600,1377.5,877.3,1.57,1379985,439797071,99.04,.21,.0362,6400.48,6401
500,1,18000,7207.1,4528.2,1.59,1614998,2259468054,99.03,.20,.0316,32770.82,32771
500,4,4500,7207.1,4524.0,1.59,1614998,2259468259,99.03,.20,.0326,33189.19,33190
500,8,2250,7207.1,4537.9,1.59,1614998,2259468232,99.03,.20,.0336,33106.59,33108
500,15,1200,7207.1,4534.5,1.59,1614997,2259468045,99.03,.20,.0336,32715.51,32716
500,16,1125,7207.1,4526.4,1.59,1614997,2259468681,99.03,.20,.0335,32482.53,32483
500,30,600,7207.1,4523.2,1.59,1614997,2259468252,99.03,.20,.0334,32962.34,32963
