db,associativity,sets,instructions_M,cycles_M,ipc,unique_cache_lines,l1d_loads,l1d_hit_pct,l2_hit_pct,nuca_hit_pct,elapsed_s,wallclock_s
8gb,1,18000,68.1,51.8,1.32,186524,13969748,98.86,.65,.0064,1394.64,1395
8gb,4,4500,68.1,51.7,1.32,186524,13969905,98.86,.65,.0077,1437.75,1439
8gb,8,2250,68.1,51.8,1.32,186524,13969568,98.86,.65,.0079,1268.21,1269
8gb,15,1200,68.1,51.7,1.32,186523,13969785,98.86,.65,.0078,1296.00,1296
8gb,16,1125,68.1,51.8,1.32,186523,13969928,98.86,.65,.0081,1473.47,1475
8gb,30,600,68.1,51.7,1.32,186523,13969776,98.86,.65,.0080,1347.57,1348
16gb,1,18000,77.3,60.7,1.27,200411,15581360,98.70,.84,.0116,1088.57,1089
16gb,4,4500,77.3,60.7,1.27,200411,15581004,98.70,.84,.0154,842.20,843
16gb,8,2250,77.3,60.7,1.27,200411,15581373,98.70,.84,.0161,849.61,851
16gb,15,1200,77.3,60.7,1.27,200411,15581242,98.70,.84,.0170,861.64,862
16gb,16,1125,77.3,60.7,1.27,200411,15580991,98.70,.84,.0166,858.70,859
16gb,30,600,77.3,60.7,1.27,200411,15581005,98.70,.84,.0163,856.23,857
