config,cores,reads,db,instructions_M,cycles_M,ipc,unique_cache_lines,sim_time_max_fs,l1d_loads,l1d_hit_pct,l2_hit_pct,l3_hit_pct,elapsed_s,wallclock_s
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,10,50mb,124.9,86.0,1.45,202401,26860600000000,41509008,99.09,.12,.4867,695.66,695
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,10,8gb,132.6,80.3,1.65,189048,25092900000000,40056694,99.21,.22,.4239,758.24,758
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,10,16gb,154.1,99.4,1.55,202578,31071400000000,46069024,99.23,.20,.4198,883.00,884
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,50,50mb,677.5,446.1,1.52,842162,139397400000000,224529707,99.15,.09,.4546,3606.75,3607
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,50,8gb,685.0,373.3,1.84,611804,116642300000000,217713134,99.31,.15,.4278,3639.51,3640
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,50,16gb,783.1,470.8,1.66,700624,147123900000000,244630536,99.31,.15,.4163,4220.34,4221
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,100,50mb,1583.6,1017.1,1.56,1298071,317841300000000,517349474,99.19,.08,.4331,8125.58,8126
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,100,8gb,1640.7,880.9,1.86,895208,275291200000000,525174508,99.37,.13,.3966,8475.42,8476
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,1,100,16gb,1858.1,1096.0,1.70,1068589,342506900000000,584497318,99.35,.14,.3811,9731.44,9732
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,4,10,50mb,148.2,89.3,1.66,203208,27910600000000,44853725,99.16,.11,.3747,772.05,781
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,4,10,8gb,156.1,84.0,1.86,154869,26260100000000,43470383,99.28,.20,.3722,839.24,841
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,4,10,16gb,177.9,105.1,1.69,168400,32837700000000,49538901,99.29,.18,.3570,966.45,992
L3-16MB_L2-512KB_L1-32KB_L1w8_L2w8_L3w16,4,50,50mb,707.9,348.9,2.03,1084746,109018500000000,234969322,99.14,.09,.2553,3738.97,3754
